Name,Age,Salary,Department
Jack,51.0,101338.0,Finance
Jack,38.0,,IT
Jack,24.0,,
Frank,47.0,101102.0,Operations
Frank,38.0,49540.0,Operations
Grace,,,Finance
Frank,,93473.0,Engineering
Eve,,,Finance
Alice,,,HR
Bob,50.0,,Sales
Hannah,,77309.0,Support
Jack,,,HR
Isaac,52.0,54305.0,
Hannah,,71490.0,Sales
Isaac,41.0,,HR
David,60.0,,Operations
David,52.0,73785.0,HR
Charlie,,,IT
Charlie,23.0,,
David,,115885.0,Finance
Charlie,,61007.0,Finance
David,38.0,115044.0,
Frank,31.0,98439.0,HR
Jack,,,HR
Grace,,,Support
Isaac,,108536.0,IT
Grace,49.0,97979.0,Operations
Charlie,,,Operations
Bob,,114937.0,Operations
Eve,37.0,96693.0,IT
Isaac,28.0,,Sales
Eve,28.0,,HR
Jack,,,Marketing
Isaac,53.0,,IT
Alice,27.0,,Operations
Bob,,,Engineering
Frank,59.0,,Finance
Hannah,26.0,66305.0,HR
Hannah,24.0,67250.0,Engineering
Eve,56.0,,HR
Charlie,,116168.0,Operations
Frank,,71940.0,IT
Grace,,,
Frank,29.0,,IT
Hannah,52.0,111456.0,Engineering
Frank,58.0,113102.0,Engineering
Frank,,66924.0,HR
Jack,,68960.0,IT
Hannah,,,Marketing
Frank,,114988.0,Marketing
Grace,53.0,,HR
Charlie,41.0,,IT
David,,110404.0,
David,,72129.0,Marketing
Isaac,,88469.0,IT
Alice,,,Engineering
Frank,,,
Bob,47.0,,IT
Isaac,56.0,104990.0,Finance
Alice,59.0,,
Hannah,,116973.0,Sales
Bob,48.0,104424.0,Finance
Grace,,118008.0,IT
Charlie,,79216.0,IT
Grace,,,IT
Bob,53.0,43391.0,Marketing
Jack,,,HR
Alice,,49376.0,Marketing
Grace,,112674.0,HR
David,,,HR
Jack,,,
Grace,60.0,47201.0,Finance
Hannah,,63590.0,Operations
Frank,,,Finance
David,,102127.0,IT
Eve,,83630.0,
Isaac,57.0,,Support
Grace,,,Marketing
Eve,,63401.0,Operations
Charlie,40.0,,HR
Bob,,53238.0,Sales
Alice,58.0,60579.0,Support
Charlie,,,Engineering
Eve,,,Finance
Bob,,,Engineering
Frank,,46187.0,HR
Grace,,100992.0,Finance
Isaac,,,Finance
Frank,43.0,,IT
Grace,,102851.0,HR
Isaac,30.0,78333.0,
Bob,,,Finance
